,buying,maint,lug_boot,condprob
0,med,vhigh,small,0.2
1,low,med,small,0.24
2,low,med,med,0.24489795918367346
3,vhigh,vhigh,big,0.38333333333333336
4,med,low,small,0.25
5,vhigh,high,med,0.2
6,high,high,med,0.4
7,med,vhigh,med,0.1978021978021978
8,high,high,big,0.4
9,high,vhigh,big,0.21666666666666667
10,high,med,med,0.2653061224489796
11,vhigh,med,big,0.24489795918367346
12,vhigh,high,small,0.2
13,high,high,small,0.4
14,low,low,big,0.25
15,vhigh,low,big,0.25
16,low,high,small,0.2
17,low,low,med,0.25
18,high,low,small,0.25
19,vhigh,low,small,0.25
20,med,low,med,0.25
21,high,vhigh,med,0.2087912087912088
22,high,med,big,0.2653061224489796
23,med,med,med,0.24489795918367346
24,vhigh,high,big,0.2
25,vhigh,med,small,0.24
26,high,low,med,0.25
27,med,high,small,0.2
28,low,vhigh,med,0.1978021978021978
29,high,low,big,0.25
30,vhigh,vhigh,small,0.4
31,low,vhigh,big,0.2
32,low,low,small,0.25
33,med,med,big,0.24489795918367346
34,low,vhigh,small,0.2
35,med,high,med,0.2
36,low,high,big,0.2
37,med,med,small,0.24
38,high,vhigh,small,0.2
39,med,high,big,0.2
40,vhigh,low,med,0.25
41,med,low,big,0.25
42,vhigh,med,med,0.24489795918367346
43,vhigh,vhigh,med,0.3956043956043956
44,med,vhigh,big,0.2
45,low,high,med,0.2
46,low,med,big,0.24489795918367346
47,high,med,small,0.28
