,buying,maint,doors,persons,lug_boot,safety,verdict,condprob
0,unacc,low,med,4,2,big,low,1.0
1,acc,low,high,4,more,small,med,1.0
2,acc,med,high,5more,4,big,med,1.0
3,acc,low,low,3,more,small,med,1.0
4,unacc,low,low,3,2,med,med,1.0
5,unacc,vhigh,vhigh,4,more,small,high,1.0
6,unacc,high,med,5more,2,small,high,1.0
7,unacc,high,high,5more,more,big,med,0.5
8,unacc,med,vhigh,4,more,big,low,1.0
9,acc,vhigh,low,2,more,big,high,1.0
10,unacc,low,high,2,4,big,low,1.0
11,unacc,low,low,4,2,small,low,1.0
12,unacc,vhigh,low,5more,2,small,low,1.0
13,unacc,med,high,2,2,big,low,1.0
14,acc,vhigh,med,5more,4,big,high,1.0
15,unacc,vhigh,high,3,4,med,med,1.0
16,acc,low,high,2,4,small,high,1.0
17,acc,med,vhigh,2,more,med,high,1.0
18,unacc,vhigh,high,2,4,big,med,1.0
19,unacc,vhigh,vhigh,2,more,small,low,0.25
20,unacc,high,high,2,4,big,high,0.5
21,unacc,vhigh,vhigh,3,4,small,low,1.0
22,unacc,med,low,5more,more,big,low,1.0
23,unacc,high,vhigh,4,4,med,med,1.0
24,unacc,high,med,2,more,small,high,1.0
25,unacc,vhigh,vhigh,2,4,big,low,0.25
26,unacc,low,low,2,2,small,med,1.0
27,unacc,high,high,3,4,small,med,1.0
28,acc,high,med,2,more,big,high,1.0
29,unacc,low,med,2,more,small,high,1.0
30,unacc,med,low,4,2,small,high,1.0
31,acc,low,vhigh,2,4,small,high,1.0
32,acc,low,vhigh,3,4,big,med,1.0
33,acc,high,med,3,4,small,high,1.0
34,unacc,vhigh,high,4,4,med,low,1.0
35,unacc,vhigh,vhigh,5more,more,big,low,1.0
36,good,low,low,5more,4,small,high,1.0
37,acc,med,vhigh,4,more,big,high,1.0
38,acc,med,vhigh,3,more,small,high,1.0
39,acc,med,high,3,more,med,med,1.0
40,unacc,med,vhigh,4,4,small,med,1.0
41,unacc,high,vhigh,5more,4,big,med,1.0
42,unacc,high,low,5more,4,small,low,1.0
43,unacc,low,high,5more,2,small,low,1.0
44,acc,vhigh,vhigh,2,2,med,med,0.3333333333333333
45,unacc,high,high,5more,2,small,med,1.0
46,unacc,vhigh,low,4,2,med,med,1.0
47,unacc,vhigh,high,2,4,big,high,1.0
48,unacc,vhigh,high,3,4,med,low,1.0
49,acc,vhigh,med,5more,4,med,high,1.0
50,unacc,vhigh,vhigh,3,more,big,med,1.0
51,unacc,high,low,2,more,small,med,1.0
52,good,low,med,2,more,big,med,1.0
53,unacc,vhigh,high,4,2,big,low,1.0
54,unacc,low,high,2,2,med,med,1.0
55,acc,vhigh,vhigh,3,2,med,low,0.25
56,unacc,med,low,5more,2,med,low,1.0
57,vgood,low,med,4,4,big,high,1.0
58,unacc,low,low,3,4,small,low,1.0
59,good,low,low,2,4,small,high,1.0
60,acc,vhigh,low,3,4,big,high,1.0
61,unacc,high,med,3,2,small,high,1.0
62,unacc,low,vhigh,3,2,med,med,1.0
63,unacc,med,low,2,2,big,high,1.0
64,unacc,vhigh,high,2,more,big,high,1.0
65,unacc,med,high,4,2,med,low,1.0
66,unacc,med,vhigh,2,more,med,low,1.0
67,acc,high,high,5more,more,small,high,0.5
68,unacc,vhigh,high,5more,more,med,med,1.0
69,acc,high,low,3,4,small,high,1.0
70,acc,high,high,4,more,med,high,0.5
71,good,low,med,4,more,med,med,1.0
72,acc,vhigh,med,4,4,med,high,1.0
73,acc,low,vhigh,3,4,small,high,1.0
74,acc,low,vhigh,3,more,small,high,1.0
