,verdict,buying,doors,persons,safety,condprob
0,vgood,low,5more,4,high,0.5
1,acc,vhigh,3,more,med,0.3333333333333333
2,acc,vhigh,5more,more,high,0.5
3,unacc,vhigh,5more,2,low,1.0
4,unacc,vhigh,3,2,med,0.8947368421052632
5,acc,vhigh,2,more,high,0.3333333333333333
6,unacc,med,3,4,low,1.0
7,unacc,low,2,4,med,0.16666666666666666
8,acc,low,3,4,high,0.4166666666666667
9,good,low,5more,4,high,0.16666666666666666
10,unacc,med,2,4,low,1.0
11,unacc,high,3,more,med,0.6
12,unacc,high,5more,more,med,0.6470588235294118
13,acc,vhigh,2,2,med,0.21052631578947367
14,unacc,high,5more,4,low,1.0
15,acc,low,2,more,high,0.25
16,acc,vhigh,4,more,high,0.5
17,acc,med,5more,more,med,0.6666666666666666
18,acc,low,5more,more,med,0.5833333333333334
19,vgood,med,2,more,high,0.16666666666666666
20,unacc,low,5more,more,med,0.08333333333333333
21,acc,high,4,more,high,0.6
22,good,med,5more,more,med,0.16666666666666666
23,unacc,vhigh,3,more,low,1.0
24,unacc,vhigh,2,4,low,0.8571428571428571
25,unacc,vhigh,5more,2,high,1.0
26,unacc,high,2,4,low,1.0
27,unacc,vhigh,5more,4,low,1.0
28,vgood,med,3,4,high,0.16666666666666666
29,unacc,low,3,4,low,1.0
30,unacc,high,5more,4,high,0.4
31,good,low,3,more,high,0.16666666666666666
32,unacc,high,4,2,med,1.0
33,unacc,med,5more,2,high,1.0
34,good,low,3,4,med,0.16666666666666666
35,unacc,med,2,more,med,0.5
36,acc,vhigh,2,more,low,0.14285714285714285
37,acc,high,4,4,med,0.4
38,good,low,2,4,med,0.16666666666666666
39,unacc,med,5more,4,low,1.0
40,unacc,high,2,2,high,1.0
41,vgood,med,2,4,high,0.16666666666666666
42,vgood,med,4,4,high,0.3333333333333333
43,acc,low,2,4,high,0.4166666666666667
44,acc,high,3,4,med,0.2
45,acc,med,5more,4,high,0.5833333333333334
46,unacc,vhigh,5more,4,med,0.6666666666666666
