,buying,maint,doors,persons,lug_boot,safety,verdict,condprob
0,vhigh,med,4,4,med,med,med,1.0
1,high,med,5more,more,med,high,high,1.0
2,high,high,5more,2,big,high,high,1.0
3,low,vhigh,4,more,med,high,high,1.0
4,med,high,4,more,big,high,high,1.0
5,high,vhigh,4,4,med,med,med,1.0
6,vhigh,med,2,2,big,low,low,1.0
7,med,low,2,2,big,high,high,1.0
8,low,high,4,4,big,med,med,1.0
9,low,med,4,2,small,med,med,1.0
10,vhigh,high,4,4,small,med,med,1.0
11,high,low,4,4,med,low,low,1.0
12,med,high,2,more,small,high,high,1.0
13,low,low,4,more,med,med,med,1.0
14,low,high,3,more,big,high,high,1.0
15,high,high,4,4,small,low,low,1.0
16,high,low,2,more,med,high,high,1.0
17,med,high,3,4,small,low,low,1.0
18,low,med,5more,2,big,high,high,1.0
19,low,vhigh,4,4,big,low,low,1.0
20,low,vhigh,2,more,big,low,low,1.0
21,low,low,5more,more,big,high,high,1.0
22,high,low,3,2,small,high,high,1.0
23,low,high,3,4,small,low,low,1.0
24,high,vhigh,2,4,small,low,low,1.0
25,med,med,3,more,small,med,med,1.0
26,high,high,4,4,small,med,med,1.0
27,low,low,3,2,small,low,low,1.0
28,low,high,5more,more,small,med,med,1.0
29,vhigh,low,3,2,small,high,high,1.0
30,high,vhigh,4,more,big,low,low,1.0
31,high,med,2,2,big,high,high,1.0
32,high,med,2,4,small,high,high,1.0
33,med,med,5more,4,big,high,high,1.0
34,vhigh,high,4,2,big,high,high,1.0
35,high,vhigh,3,4,small,med,med,1.0
36,high,low,5more,more,big,low,low,1.0
37,med,med,5more,2,med,med,med,1.0
38,low,low,4,more,small,med,med,1.0
39,low,med,4,more,big,med,med,1.0
40,vhigh,med,4,2,big,high,high,1.0
41,med,med,3,4,small,high,high,1.0
42,low,low,4,4,small,med,med,1.0
43,vhigh,med,3,2,small,med,med,1.0
44,med,high,3,4,small,med,med,1.0
45,vhigh,vhigh,2,2,med,low,low,1.0
46,high,med,5more,2,small,med,med,1.0
47,low,vhigh,4,2,med,high,high,1.0
48,med,med,5more,2,small,high,high,1.0
49,high,high,4,2,big,med,med,1.0
50,high,low,3,4,med,med,med,1.0
51,vhigh,vhigh,3,more,med,med,med,1.0
52,high,med,4,4,med,high,high,1.0
53,high,med,2,4,big,high,high,1.0
54,med,high,3,4,big,high,high,1.0
55,high,low,3,more,small,med,med,1.0
56,vhigh,high,4,2,small,med,med,1.0
57,low,med,4,more,small,med,med,1.0
58,low,med,3,2,med,med,med,1.0
59,med,vhigh,2,more,small,med,med,1.0
60,high,vhigh,5more,4,med,low,low,1.0
61,low,med,3,2,small,high,high,1.0
62,med,high,2,4,med,low,low,1.0
63,vhigh,med,3,2,big,high,high,1.0
64,vhigh,med,5more,4,small,low,low,1.0
65,vhigh,low,3,more,big,low,low,1.0
66,high,low,2,4,med,med,med,1.0
67,low,high,3,2,med,high,high,1.0
68,low,vhigh,4,4,big,high,high,1.0
69,low,vhigh,2,4,med,high,high,1.0
70,vhigh,high,4,more,big,low,low,1.0
71,vhigh,high,2,4,small,high,high,1.0
72,med,high,3,2,big,med,med,1.0
73,med,low,4,2,med,high,high,1.0
74,high,low,2,more,big,low,low,1.0
75,med,high,3,2,small,high,high,1.0
76,high,vhigh,5more,4,big,med,med,1.0
77,vhigh,high,4,4,big,high,high,1.0
78,low,vhigh,2,more,med,high,high,1.0
79,high,vhigh,2,2,med,high,high,1.0
80,high,high,3,2,big,med,med,1.0
81,med,low,2,2,big,low,low,1.0
82,vhigh,med,5more,4,med,med,med,1.0
83,med,med,3,more,med,med,med,1.0
84,med,high,2,2,med,med,med,1.0
85,high,high,3,more,small,low,low,1.0
86,low,high,5more,4,big,high,high,1.0
87,low,high,4,4,med,med,med,1.0
88,vhigh,high,3,more,big,med,med,1.0
89,med,low,5more,more,small,low,low,1.0
