,verdict,buying,doors,persons,safety,condprob
0,unacc,low,3,4,low,1.0
1,unacc,vhigh,2,4,med,0.23809523809523808
2,unacc,vhigh,2,more,high,0.3333333333333333
3,unacc,low,4,4,low,1.0
4,unacc,med,2,2,med,1.0
5,acc,low,2,more,med,0.4166666666666667
6,unacc,vhigh,3,2,low,0.14285714285714285
7,unacc,low,5more,more,low,1.0
8,unacc,high,5more,more,low,1.0
9,unacc,high,2,4,high,0.625
10,unacc,med,5more,4,med,0.6666666666666666
11,unacc,med,5more,4,low,1.0
12,vgood,med,5more,4,high,0.3333333333333333
13,acc,med,2,more,med,0.4166666666666667
14,unacc,high,5more,more,high,0.5294117647058824
15,good,low,5more,more,med,0.5833333333333334
16,acc,low,5more,4,med,0.5833333333333334
17,vgood,med,4,4,high,0.3333333333333333
18,good,low,4,more,high,0.5
19,good,low,3,more,high,0.5
20,unacc,med,2,4,low,1.0
21,acc,high,3,4,med,0.2
22,acc,vhigh,4,4,med,0.3333333333333333
23,unacc,med,2,more,low,1.0
24,vgood,low,2,more,high,0.25
25,unacc,high,2,4,med,0.1875
26,unacc,high,2,4,low,1.0
27,unacc,low,4,more,med,0.5833333333333334
28,unacc,high,2,more,high,0.4
29,good,med,2,4,med,0.5833333333333334
30,vgood,low,2,4,high,0.25
31,unacc,med,5more,2,high,1.0
32,unacc,med,4,2,high,1.0
33,acc,vhigh,2,more,med,0.23809523809523808
34,acc,vhigh,2,2,low,0.2631578947368421
35,acc,high,3,more,med,0.4
36,unacc,high,4,4,med,0.4
37,unacc,med,2,more,high,0.16666666666666666
38,unacc,low,2,4,med,0.6666666666666666
39,unacc,high,3,2,low,1.0
40,unacc,med,2,2,high,1.0
41,acc,high,3,more,high,0.6
42,unacc,vhigh,3,more,med,0.3333333333333333
43,good,low,2,4,high,0.25
44,unacc,vhigh,4,2,high,1.0
45,good,low,4,4,high,0.5
46,unacc,med,4,2,med,1.0
47,acc,vhigh,3,2,med,0.10526315789473684
